prop,doc_stars,n,model_pct,base_pct,edge_pts
WR/TE receptions,*****,4035,61.982651796778185,59.10780669144982,2.874845105328372
RB rush attempts,*****,1747,58.44304522037779,57.52718946765884,0.9158557527189415
QB pass attempts,****+,461,68.54663774403471,57.04989154013015,11.496746203904562
QB completions,****+,436,66.28440366972477,56.88073394495413,9.403669724770635
Receiving yards,****,4160,53.22115384615385,59.39903846153847,-6.177884615384621
Rushing yards,****,1753,51.51169423844837,59.78322875071307,-8.2715345122647
Passing yards,-,467,65.31049250535332,56.74518201284796,8.565310492505363
Targets,-,3959,58.55013892397069,57.489264965900475,1.0608739580702187
Receiving TD,**,4650,86.3010752688172,86.45161290322581,-0.15053763440859846
