fold,block,metric,base,arm,delta_pct
validation,scheme,attempts,7.741461557610932,7.73147885277252,0.12895116463631506
validation,scheme,attempts::cold,10.323763137235716,10.011857309111406,3.021241614884873
validation,scheme,attempts::rank1,6.574736841520292,6.57928823669338,-0.06922551096411045
validation,scheme,carries,2.8971467576253622,2.914195605492922,-0.5884702879716652
validation,scheme,carries::cold,2.3678864629268572,2.413376425424881,-1.9211209325380896
validation,scheme,carries::rank1,2.8781547095106985,2.8822610721730464,-0.1426734514575756
validation,scheme,passing_yards,65.82272309591173,65.53827574922691,0.43214156647749524
validation,scheme,passing_yards::cold,70.24109056561646,65.58752786225594,6.6251287756037165
validation,scheme,passing_yards::rank1,61.135399262808775,61.012010059697644,0.20182938951736062
validation,scheme,receiving_yards,16.753221789561568,16.814095096076134,-0.3633528361242977
validation,scheme,receiving_yards::cold,13.586627711349974,13.665270179048392,-0.5788225700239069
validation,scheme,receiving_yards::rank1,20.79148158830094,20.94291494765101,-0.7283432818721236
validation,scheme,receptions,1.2770535239026066,1.2772035208013268,-0.01174554518763582
validation,scheme,receptions::cold,1.087989367411665,1.0892820124036868,-0.11881044344184133
validation,scheme,receptions::rank1,1.5209505844456936,1.522502251599451,-0.10201956392441591
validation,scheme,rushing_yards,16.168166467992307,16.215599415105594,-0.2933724563461748
validation,scheme,rushing_yards::cold,15.021583321021081,14.873370140586047,0.9866681645178232
validation,scheme,rushing_yards::rank1,16.97036273868418,17.025223773603106,-0.3232755584762437
validation,scheme,targets,1.6149344486725725,1.611394898550423,0.2191760863766934
validation,scheme,targets::cold,1.3779887695378068,1.3551387308012965,1.658216615522523
validation,scheme,targets::rank1,1.924779268034378,1.921111764252477,0.19054152560809
validation,refcrew,attempts,7.741461557610932,7.693382333422472,0.6210613309988178
validation,refcrew,attempts::cold,10.323763137235716,10.47826928758207,-1.4966068892948714
validation,refcrew,attempts::rank1,6.574736841520292,6.590885747029445,-0.24562056091994577
validation,refcrew,carries,2.8971467576253622,2.904763911674385,-0.2629191644839546
validation,refcrew,carries::cold,2.3678864629268572,2.3609109322670276,0.29458889896297746
validation,refcrew,carries::rank1,2.8781547095106985,2.8789432549736893,-0.027397605152534865
validation,refcrew,passing_yards,65.82272309591173,64.95905419749525,1.312113595115183
validation,refcrew,passing_yards::cold,70.24109056561646,68.46122334157815,2.533940190429751
validation,refcrew,passing_yards::rank1,61.135399262808775,60.5036651517749,1.0333360355073151
validation,refcrew,receiving_yards,16.753221789561568,16.772800151951284,-0.11686326746962461
validation,refcrew,receiving_yards::cold,13.586627711349974,13.416699368929455,1.2507028677805399
validation,refcrew,receiving_yards::rank1,20.79148158830094,20.92863298377832,-0.6596518622056902
validation,refcrew,receptions,1.2770535239026066,1.2758352452442032,0.09539761925407841
validation,refcrew,receptions::cold,1.087989367411665,1.0924657976335928,-0.41144062212457033
validation,refcrew,receptions::rank1,1.5209505844456936,1.5180313869505575,0.19193243521452574
validation,refcrew,rushing_yards,16.168166467992307,16.137755844170083,0.18808950218583975
validation,refcrew,rushing_yards::cold,15.021583321021081,14.990279734837758,0.20839072362975886
validation,refcrew,rushing_yards::rank1,16.97036273868418,16.970684368905104,-0.0018952465888677494
validation,refcrew,targets,1.6149344486725725,1.6168347216513483,-0.11766873759722074
validation,refcrew,targets::cold,1.3779887695378068,1.3695911665752085,0.60941011626785
validation,refcrew,targets::rank1,1.924779268034378,1.9240363036242103,0.038599979878550794
validation,pfradv,attempts,7.741461557610932,7.679310492691932,0.8028337343856884
validation,pfradv,attempts::cold,10.323763137235716,10.35801014705467,-0.33172990666003876
validation,pfradv,attempts::rank1,6.574736841520292,6.537198685746234,0.5709453728550806
validation,pfradv,carries,2.8971467576253622,2.9088986279481657,-0.4056360034876416
validation,pfradv,carries::cold,2.3678864629268572,2.3551865533381675,0.5363394650684361
validation,pfradv,carries::rank1,2.8781547095106985,2.877522583596842,0.021962888644166956
validation,pfradv,passing_yards,65.82272309591173,64.96878009711371,1.2973376953027582
validation,pfradv,passing_yards::cold,70.24109056561646,71.46576131505968,-1.7435246799011095
validation,pfradv,passing_yards::rank1,61.135399262808775,60.54070539900791,0.9727488017938546
validation,pfradv,receiving_yards,16.753221789561568,16.767915322332012,-0.08770571389198345
