target,n,mean,mae,mae_pct,p50,p90,within20,within1sd,sd
attempts,266,32.078947368421055,6.956629507745959,21.685965651710124,5.333755577978547,14.395827644887246,57.14285714285714,69.92481203007519,8.789880930373865
passing_yards,266,238.093984962406,59.31339353169926,24.911756397821044,48.431586594588694,121.72602245298353,49.62406015037594,68.04511278195488,74.61261195747907
completions,266,21.575187969924812,4.841333305515767,22.439356321087192,4.143174974811892,9.97671136691147,52.63157894736842,69.92481203007519,6.07921341444056
carries,909,11.372937293729374,4.2486784056383495,37.35779329391816,3.5465871322493037,8.8310541089636,32.67326732673268,68.31683168316832,5.324467466055227
rushing_yards,909,50.608360836083605,25.846316165737647,51.071237516369635,22.50882494867678,50.51816622098408,22.22222222222222,69.96699669966998,32.66247674331401
targets,2080,5.610096153846154,2.277182259379792,40.590788409546384,1.9113563172883377,4.569330443338676,29.375,71.25,2.8875134519942156
receptions,2080,3.8158653846153845,1.7686467221637083,46.349819605650914,1.4969626685596333,3.5167750943000513,25.817307692307693,69.8076923076923,2.2524714895623594
receiving_yards,2080,44.29038461538462,24.729924207110827,55.835875939809945,20.544810290728982,49.59275179836833,20.14423076923077,74.27884615384616,31.971346494719498
passing_tds,266,1.6842105263157894,1.0292123841943501,61.109485311539544,0.6948514017257921,2.0406193956310115,11.278195488721805,62.40601503759399,1.265392771879798
receiving_tds,2080,0.28942307692307695,0.4095666309558342,141.5113940844078,0.2828380524450846,0.7748311359743055,0.0,75.24038461538461,0.529908981381648
