prop,n,coin_pct,gap_pct,prob_pct,gap_edge,prob_edge,change,disagreed
WR/TE receptions,4121,58.62654695462266,61.56272749332686,63.91652511526329,2.936180538704203,5.289978160640629,2.3537976219364265,705
RB rush attempts,1707,57.17633274751025,58.58230814294083,61.45284124194493,1.405975395430581,4.276508494434683,2.8705330990041023,357
QB pass attempts,453,57.17439293598234,68.87417218543047,68.65342163355407,11.699779249448117,11.479028697571735,-0.22075055187638082,19
QB completions,419,57.279236276849645,65.63245823389022,65.15513126491646,8.353221957040569,7.875894988066823,-0.4773269689737458,16
Receiving yards,4150,59.78313253012048,54.93975903614457,62.67469879518073,-4.8433734939759105,2.8915662650602414,7.734939759036152,1655
Rushing yards,1720,59.883720930232556,52.44186046511628,62.32558139534884,-7.441860465116279,2.4418604651162856,9.883720930232565,718
Passing yards,476,57.56302521008403,66.38655462184873,65.96638655462185,8.823529411764708,8.403361344537819,-0.42016806722688926,16
Targets,3791,56.44948562384595,59.351094697968875,62.46372988657346,2.901609074122924,6.014244262727509,3.1126351886045844,686
