target,form,n_train,n_test,mean,model_mae,model_rmse,b1_mae,b1_rmse,b2_mae,b2_rmse,b3_mae,b3_rmse,skill_vs_b1,skill_vs_b2,skill_vs_b3,beats_b2,beats_b3,passes_gate,fold
targets,count,34561,5138,3.3797197353055664,1.6149344486725725,2.174836352738814,2.545399106981727,3.1859728043109548,1.7606987325055086,2.3871991078726835,1.8123360213216928,2.402727144921182,36.55476486013532,8.278774848977744,10.892106669333879,True,True,True,validation
receptions,count,34561,5138,2.280264694433632,1.2770535239026066,1.7319353979516892,1.8093966102707433,2.3090034705890576,1.3734203678987806,1.8771510565131788,1.4054112403351882,1.8727510936865752,29.421028167422136,7.0165585314281635,9.13310728907849,True,True,True,validation
receiving_yards,direct,34561,5138,24.905021409108603,16.753221789561568,24.071216203810277,23.65289990138107,31.531473648699542,17.81610292071454,26.017953275483784,17.683824047669997,25.30609195395298,29.170537822369237,5.965845257422564,5.262449205555431,True,True,True,validation
receiving_tds,count,34561,5138,0.14577656675749318,0.23350521453886025,0.3791936796279543,0.264462975742373,0.39679581808747616,0.22656948735446242,0.41486962307003294,0.23754915837055912,0.38678866698941283,11.705896115178815,-3.061192071969976,1.7023608332009443,False,True,False,validation
carries,count,15567,2233,6.279892521271831,2.8971467576253622,4.066188180929871,5.063673137489765,6.326700389192971,3.2026442733981195,4.5221313415513835,3.384996582836869,4.786653572440143,42.7856680523898,9.53891502438432,14.412121645412535,True,True,True,validation
rushing_yards,direct,15567,2233,26.010300044782802,16.168166467992307,23.548928733983878,24.070995918398584,31.26513527791488,17.175602119133433,25.348585775149395,17.60324448797752,25.170995627079364,32.83133559241633,5.865504127036414,8.152349534003955,True,True,True,validation
rushing_tds,count,15567,2233,0.19838781907747424,0.2895083878203783,0.44580247643957066,0.3301858792718104,0.4756096272379165,0.2787561615291291,0.4766050128360459,0.2972720981630507,0.45862417876153827,12.319573308568488,-3.8572156512227007,2.6116512079832344,False,True,False,validation
attempts,count,4291,663,27.559577677224738,7.741461557610932,9.854517881065654,9.902101385164432,13.108145093059031,8.826905080877921,11.89652766273125,9.656320630692793,12.48905744697109,21.820013182157705,12.296988732986714,19.83011072556401,True,True,True,validation
completions,count,4291,663,17.772247360482655,5.328205639970362,6.690218192075031,6.98707210327976,8.909337050509794,6.1044308656271,8.081334358177022,6.538353089663912,8.327426155619536,23.741939954086344,12.715767329392092,18.508444452267337,True,True,True,validation
passing_yards,compound,4291,663,193.42684766214177,64.97113493100932,81.67962103065604,83.70092793046445,105.1296102046171,73.36487553876682,94.720393982457,70.66982077734099,92.33350026345371,22.377043436143417,11.441088867277038,8.06381816686148,True,True,True,validation
passing_tds,count,4291,663,1.1266968325791855,0.7820875725792581,0.989836153953419,0.9309653338057523,1.1102161277217144,0.8507174949526009,1.1006266447903221,0.843039042521842,1.0632680355235464,15.991762079677807,8.067298813123225,7.22997000948562,True,True,True,validation
passing_interceptions,count,4291,663,0.6470588235294118,0.6759696501325109,0.8347028013748897,0.7030847475142648,0.8419103675602504,0.7049537217120425,0.926255600780998,0.7036994564484649,0.881505824607214,3.8565901874018094,4.1114857169831325,3.940575207476349,True,True,True,validation
sacks_suffered,count,4291,663,2.1085972850678734,1.3390931459372983,1.6990088326933817,1.438402943057007,1.8254245986860138,1.4556621950532544,1.8983424026536173,1.4258250208588537,1.8170313946904852,6.904170879172966,8.007973931870339,6.082925580118648,True,True,True,validation
fg_att,count,3644,543,1.9484346224677715,1.051905196911818,1.3028193605726788,1.0414036141046712,1.3037400033756,1.1287655084754378,1.4201256629800119,1.057609699007609,1.3177168315538688,-1.0084066028688943,6.809236372524419,0.5393768704223922,True,True,True,validation
fg_made,count,3644,543,1.6740331491712708,1.0090216655044144,1.234945759032674,1.0154339331234976,1.2400069267266667,1.0827020778087695,1.351585463546204,1.0140985413241683,1.2479584098680294,0.6314805335841944,6.805234220430556,0.5006294371673881,True,True,True,validation
pat_att,count,3644,543,2.152854511970534,1.1181107269692063,1.4183290848977157,1.215222985689536,1.5145779876846142,1.2358671494477118,1.5741753513844219,1.2061223201134144,1.5172608666889928,7.9913118714773805,9.52824278330635,7.297070261989025,True,True,True,validation
