fold,block,metric,base,arm,delta_pct
validation,rolechg,attempts,7.786020176474673,7.165438409669389,7.970461837234389
validation,rolechg,attempts::cold,10.423784691317016,8.965917785020505,13.985965265676581
validation,rolechg,attempts::rank1,6.605794541480743,6.561620331009306,0.668719110079008
validation,rolechg,carries,2.9037666209822057,2.8957550396944183,0.27590307120058943
validation,rolechg,carries::cold,2.3797114164749105,2.345367211462529,1.4432088182883995
validation,rolechg,carries::rank1,2.881915345866796,2.8835403805851887,-0.05638731618968773
validation,rolechg,passing_yards,65.79915432097044,62.59412846754742,4.870922561996471
validation,rolechg,passing_yards::cold,70.20828766710521,61.145210803739815,12.908841910998115
validation,rolechg,passing_yards::rank1,61.10268362702678,61.109261853672585,-0.01076585553256848
validation,rolechg,receiving_yards,16.768784957434555,16.761503503298183,0.043422669888459886
validation,rolechg,receiving_yards::cold,13.398606123114666,13.490053116911822,-0.682511247490103
validation,rolechg,receiving_yards::rank1,20.88759342569874,20.866682640268394,0.10011103244004227
validation,rolechg,receptions,1.2774383761182257,1.2700201381918934,0.5807119987168541
validation,rolechg,receptions::cold,1.089691828458212,1.0862207898141147,0.3185339701967327
validation,rolechg,receptions::rank1,1.5198812977250369,1.5126657981955736,0.4747409906460165
validation,rolechg,rushing_yards,16.27543665188311,16.266918956273113,0.05233466721773494
validation,rolechg,rushing_yards::cold,14.938901126105057,14.846911428404123,0.6157728531999251
validation,rolechg,rushing_yards::rank1,17.038721178636035,17.221166479759088,-1.0707687461416482
validation,rolechg,targets,1.617777840034946,1.6073817222839284,0.642617143945623
validation,rolechg,targets::cold,1.3809730911467737,1.3660593490934585,1.0799444354799626
validation,rolechg,targets::rank1,1.9285281188609489,1.9175931964488377,0.5670087101747656
test,rolechg,attempts,7.878008035944918,7.251045265103834,7.958392121211933
test,rolechg,attempts::rank1,6.845753996726127,6.735474960351764,1.6109114704837668
test,rolechg,carries,2.8770193204190253,2.835002715944641,1.4604213526193677
test,rolechg,carries::cold,2.6454614378776795,2.689981224735916,-1.6828741565007466
test,rolechg,carries::rank1,2.992514870403488,2.9772738423955833,0.509305004918803
test,rolechg,passing_yards,62.25165183867365,57.61449174211333,7.44905550229833
test,rolechg,passing_yards::rank1,58.29012376811774,58.17406716418733,0.19910165981478212
test,rolechg,receiving_yards,16.428978455796322,16.353665666114683,0.4584143188468781
test,rolechg,receiving_yards::cold,11.647045002931739,11.45302076439832,1.665866651022474
test,rolechg,receiving_yards::rank1,19.977214806459237,19.977097964819915,0.0005848745205705441
test,rolechg,receptions,1.2759885435211533,1.2691843186477798,0.5332512511904586
test,rolechg,receptions::cold,0.9141862668523382,0.9158164247444971,-0.17831791520690476
test,rolechg,receptions::rank1,1.5156964229012295,1.5127011284904088,0.19761835982217146
test,rolechg,rushing_yards,17.222116838292777,17.017295479951898,1.189292583856283
test,rolechg,rushing_yards::cold,13.111895318936996,12.769655703763238,2.6101460303719404
test,rolechg,rushing_yards::rank1,19.53843652014717,19.38713822754087,0.7743623316547654
test,rolechg,targets,1.6259188984514508,1.6193174000916377,0.40601646035975936
test,rolechg,targets::cold,1.209992264526323,1.2047822297034987,0.43058414302044046
test,rolechg,targets::rank1,1.9340875676505571,1.9287739467772254,0.27473527890914395
