fold,metric,off,on,delta_pct
validation,attempts,8.030947320541873,7.679607190671712,4.374827972927797
validation,attempts::coldstart,12.105323728629669,10.555410792235936,12.803564540187518
validation,attempts::rank1,6.755080087730179,6.514640107434997,3.559394961606943
validation,carries,2.9091104774644876,2.9177816409336503,-0.2980692392514639
validation,carries::coldstart,2.4524896455371437,2.48867108424103,-1.4752942492428645
validation,carries::rank1,2.86378959087412,2.877603418814195,-0.4823618321714296
validation,passing_yards,66.92849057456625,65.27510617306395,2.470374555452204
validation,passing_yards::coldstart,78.07836247095155,70.28768700212608,9.978021083272504
validation,passing_yards::rank1,61.432739546551616,60.768845855770735,1.0806838433076948
validation,receiving_yards,16.72714049250341,16.717296055449847,0.058853078073772824
validation,receiving_yards::coldstart,14.068551929936511,13.853903013470251,1.5257356800845168
validation,receiving_yards::rank1,20.74369009709908,20.85626480531031,-0.5426937429371614
validation,receptions,1.2810071987876286,1.2790944192633034,0.14931840555896247
validation,receptions::coldstart,1.13397460500035,1.1291631437179406,0.4243006202425459
validation,receptions::rank1,1.5208716891879235,1.5242180980916635,-0.22003229644749212
validation,rushing_yards,16.197240149734117,16.277769089310667,-0.49717691922885887
validation,rushing_yards::coldstart,15.250244789797225,15.170693692125862,0.5216381688809668
validation,rushing_yards::rank1,16.864107713742715,17.17889264180896,-1.8665969964703377
validation,targets,1.6225213245184185,1.6190036338260787,0.21680397287745512
validation,targets::coldstart,1.471093873012868,1.430434051030394,2.76391756694635
validation,targets::rank1,1.9216026437402225,1.9250786767771284,-0.18089239459726514
test,attempts,8.00260549901338,7.888243549453765,1.4290589430369205
test,attempts::rank1,7.009050503298807,6.7901436915469775,3.1232020891959866
test,carries,2.8928642803320055,2.8787614041865113,0.4875056269102118
test,carries::coldstart,2.7075522313860336,2.6191539728714206,3.264877312056902
test,carries::rank1,2.996239750353231,2.9943673465278353,0.06249178908914743
test,passing_yards,63.96937812520424,62.767047748451944,1.8795405113975483
test,passing_yards::rank1,58.87839126239876,58.39980819157352,0.8128331303964731
test,receiving_yards,16.47137574097319,16.490424843543945,-0.11564973606525975
test,receiving_yards::coldstart,12.105045078393205,11.953966376505827,1.2480639345742284
test,receiving_yards::rank1,19.941893013056326,20.092837328859712,-0.7569206980729382
test,receptions,1.2816752950078563,1.2779862686255388,0.2878284692453881
test,receptions::coldstart,0.9490521782141579,0.9422531009953228,0.7164071033090136
test,receptions::rank1,1.515394739987473,1.5204948815123716,-0.3365553139600186
test,rushing_yards,17.24002966498567,17.159997365564735,0.464223675806541
test,rushing_yards::coldstart,12.72498125410789,12.55622204760157,1.3262039694702077
test,rushing_yards::rank1,19.44850670811581,19.47284929836334,-0.12516431524982607
test,targets,1.6432552895029864,1.6381367043885453,0.3114905606656615
test,targets::coldstart,1.3480629401551394,1.2988315394010956,3.6520105469539876
test,targets::rank1,1.932839724708197,1.9391239330490855,-0.32512826907244996
