target,base,recency,delta_recency,bypos,delta_bypos,deeper,delta_deeper,longwin,delta_longwin,fold
targets,1.6018487667931247,1.601624494177547,0.014000860769558532,1.6127163941425704,-0.67844278278546,1.6092857454669791,-0.4642747073272835,1.6036900703597843,-0.11494865213435013,validation
carries,2.864955568197196,2.8705019640610066,-0.19359448102367338,2.8885864893983904,-0.8248267953441246,2.8576654690528533,0.2544576685679645,2.862000773136035,0.10313580754833795,validation
attempts,8.085647425008101,8.082378834362897,0.040424600200783534,8.085647425008101,0.0,7.9882749127140915,1.2042636436613186,7.989255967217334,1.1921303604290001,validation
receiving_yards,16.691419128880952,16.737651368279185,-0.27698207708557465,16.95703147173167,-1.5913107255879355,16.7729603144031,-0.48852158640637633,16.64766560694058,0.2621318271534223,validation
receiving_tds,0.23297459016181327,0.2321319240310721,0.36169872867074515,0.23421534057416088,-0.5325689859507099,0.23428375236393215,-0.5619334714612512,0.23194382754200904,0.44243564033670246,validation
targets,1.6257016280466807,,,,,,,1.6238068811238382,0.11654948793519138,test
carries,2.8023010141819684,,,,,,,2.795086299265489,0.25745681423826605,test
attempts,7.87311302972787,,,,,,,7.840578713662301,0.4132331892445107,test
receiving_yards,16.380075539669242,,,,,,,16.435646021344922,-0.33925656533817516,test
receiving_tds,0.2358219757782434,,,,,,,0.235839156952199,-0.007285654315669632,test
