fold,block,metric,base,arm,delta_pct
validation,weather,attempts,7.786020176474673,7.735332115937143,0.6510137321591225
validation,weather,attempts::cold,10.423784691317016,10.50480268896913,-0.7772416646288027
validation,weather,attempts::rank1,6.605794541480743,6.602065144025386,0.056456455494324764
validation,weather,carries,2.9037666209822057,2.9137520255527916,-0.34387765526446845
validation,weather,carries::cold,2.3797114164749105,2.3300244768609355,2.0879397085709073
validation,weather,carries::rank1,2.881915345866796,2.892461069741844,-0.3659276074910567
validation,weather,passing_yards,65.79915432097044,65.25655100371435,0.8246357006493676
validation,weather,passing_yards::cold,70.20828766710521,69.66468892172095,0.7742657789373109
validation,weather,passing_yards::rank1,61.10268362702678,60.68610172971809,0.6817734878086901
validation,weather,receiving_yards,16.768784957434555,16.821102723125797,-0.3119949705601366
validation,weather,receiving_yards::cold,13.398606123114666,13.493816369067266,-0.7105981404166295
validation,weather,receiving_yards::rank1,20.88759342569874,20.987375956079585,-0.4777119524840945
validation,weather,receptions,1.2774383761182257,1.2762383247129128,0.09394201925885248
validation,weather,receptions::cold,1.089691828458212,1.0872082218869445,0.22791825233574592
validation,weather,receptions::rank1,1.5198812977250369,1.5163170194761695,0.23451030381138604
validation,weather,rushing_yards,16.27543665188311,16.26039375906106,0.09242696920397364
validation,weather,rushing_yards::cold,14.938901126105057,14.878794116534184,0.402352281894669
validation,weather,rushing_yards::rank1,17.038721178636035,17.136003284179658,-0.5709472238186519
validation,weather,targets,1.617777840034946,1.6178292903202456,-0.0031803059744150985
validation,weather,targets::cold,1.3809730911467737,1.3730355936866059,0.5747756789074354
validation,weather,targets::rank1,1.9285281188609489,1.9254593468295176,0.15912508619494448
test,weather,attempts,7.878008035944918,7.85284897258115,0.3193581835531867
test,weather,attempts::rank1,6.845753996726127,6.749748850280921,1.4024042711893947
test,weather,carries,2.8770193204190253,2.887376441949923,-0.3599948550011556
test,weather,carries::cold,2.6454614378776795,2.672257861175551,-1.012920578398946
test,weather,carries::rank1,2.992514870403488,3.004751043974828,-0.4088926572214602
test,weather,passing_yards,62.25165183867365,63.09604607449867,-1.356420610353104
test,weather,passing_yards::rank1,58.29012376811774,58.41894325318032,-0.22099710334300138
test,weather,receiving_yards,16.428978455796322,16.38421798461879,0.27244829188841635
test,weather,receiving_yards::cold,11.647045002931739,11.504006258925635,1.2281118856336426
test,weather,receiving_yards::rank1,19.977214806459237,19.950389713078106,0.13427844492345242
test,weather,receptions,1.2759885435211533,1.2755427619776532,0.03493617131310467
test,weather,receptions::cold,0.9141862668523382,0.915594506704601,-0.15404298919425852
test,weather,receptions::rank1,1.5156964229012295,1.5177065263136522,-0.13261913019331217
test,weather,rushing_yards,17.222116838292777,17.213320176377174,0.05107770431590497
test,weather,rushing_yards::cold,13.111895318936996,12.889029037344226,1.6997259066802717
test,weather,rushing_yards::rank1,19.53843652014717,19.589626024378692,-0.26199386106835476
test,weather,targets,1.6259188984514508,1.6289395241033289,-0.18577960159975593
test,weather,targets::cold,1.209992264526323,1.2081939236476371,0.1486241632619012
test,weather,targets::rank1,1.9340875676505571,1.9336304640374695,0.02363407018033392
