fold,block,metric,base,arm,delta_pct
test,venue,targets::cold,1.2226094855665586,1.2383214177215693,-1.2851145308863554
test,venue,targets::rank1,1.9353874070107258,1.940498098175391,-0.26406553779116937
test,bioex,attempts,7.857009259675389,7.857009259675389,0.0
test,bioex,attempts::rank1,6.768683300020305,6.768683300020305,0.0
test,bioex,carries,2.873140371383449,2.873140371383449,0.0
test,bioex,carries::cold,2.6516441037030307,2.6516441037030307,0.0
test,bioex,carries::rank1,2.991132997122613,2.991132997122613,0.0
test,bioex,passing_yards,62.48282925318279,62.767047748451944,-0.4548745610053695
test,bioex,passing_yards::rank1,58.57901250486828,58.39980819157352,0.3059189727376621
test,bioex,receiving_yards,16.443949091450907,16.443949091450907,0.0
test,bioex,receiving_yards::cold,11.822695386696044,11.822695386696044,0.0
test,bioex,receiving_yards::rank1,19.990917580789436,19.990917580789436,0.0
test,bioex,receptions,1.2772796352434173,1.2772796352434173,0.0
test,bioex,receptions::cold,0.9244602896518673,0.9244602896518673,0.0
test,bioex,receptions::rank1,1.5170520682735118,1.5170520682735118,0.0
test,bioex,rushing_yards,17.16605679729428,17.16605679729428,0.0
test,bioex,rushing_yards::cold,13.086130632339986,13.086130632339986,0.0
test,bioex,rushing_yards::rank1,19.516029993252108,19.516029993252108,0.0
test,bioex,targets,1.629881656549777,1.629881656549777,0.0
test,bioex,targets::cold,1.2226094855665586,1.2226094855665586,0.0
test,bioex,targets::rank1,1.9353874070107258,1.9353874070107258,0.0
