fold,block,metric,base,arm,delta_pct
validation,posdef,attempts,7.741461557610932,7.74281310154688,-0.01745851123706732
validation,posdef,attempts::cold,10.323763137235716,10.368675515361836,-0.4350388276938455
validation,posdef,attempts::rank1,6.574736841520292,6.64463576599245,-1.0631440642724588
validation,posdef,carries,2.9079844055483224,2.8971467576253622,0.3726859023824969
validation,posdef,carries::cold,2.3871932299677736,2.3678864629268572,0.8087643177999926
validation,posdef,carries::rank1,2.8877838192512333,2.8781547095106985,0.3334428871144324
validation,posdef,passing_yards,65.82272309591173,65.30689774262223,0.7836584830103077
validation,posdef,passing_yards::cold,70.24109056561646,66.58348050029744,5.207222774968489
validation,posdef,passing_yards::rank1,61.135399262808775,61.22777721581341,-0.1511038680021004
validation,posdef,receiving_yards,16.7356873585366,16.753221789561568,-0.10477269710720272
validation,posdef,receiving_yards::cold,13.56257873901405,13.586627711349974,-0.1773185822453227
validation,posdef,receiving_yards::rank1,20.839281548228612,20.79148158830094,0.22937431800155172
validation,posdef,receptions,1.2766020939042904,1.2770535239026066,-0.03536184066059711
validation,posdef,receptions::cold,1.0932237587400921,1.087989367411665,0.4788032904132655
validation,posdef,receptions::rank1,1.5192186093627702,1.5209505844456936,-0.11400433566635115
validation,posdef,rushing_yards,16.228059806734883,16.168166467992307,0.3690727015790207
validation,posdef,rushing_yards::cold,15.0851050737664,15.021583321021081,0.4210892296387492
validation,posdef,rushing_yards::rank1,17.024735923832257,16.97036273868418,0.3193775538800625
validation,posdef,targets,1.6188017668329882,1.6149344486725725,0.23890004567894696
validation,posdef,targets::cold,1.391193665627809,1.3779887695378068,0.9491774162185496
validation,posdef,targets::rank1,1.9261386985100786,1.924779268034378,0.07057801583821854
validation,venue,attempts,7.741461557610932,7.717412686816155,0.31065026436942755
validation,venue,attempts::cold,10.323763137235716,10.452903543921659,-1.2509043937685815
validation,venue,attempts::rank1,6.574736841520292,6.5606173654685715,0.21475347823132207
validation,venue,carries,2.9079844055483224,2.9146993077340806,-0.23091259268606112
validation,venue,carries::cold,2.3871932299677736,2.4731157388598484,-3.5993110156916197
validation,venue,carries::rank1,2.8877838192512333,2.8911503751712466,-0.11657922236318896
validation,venue,passing_yards,65.82272309591173,65.3948093096012,0.6501004002629984
validation,venue,passing_yards::cold,70.24109056561646,69.48962813663384,1.0698330890529628
validation,venue,passing_yards::rank1,61.135399262808775,61.11332289409727,0.036110615089957054
validation,venue,receiving_yards,16.7356873585366,16.70020207050369,0.21203364566207972
validation,venue,receiving_yards::cold,13.56257873901405,13.47037225359424,0.6798595399455265
validation,venue,receiving_yards::rank1,20.839281548228612,20.724666695803045,0.5499942604082264
validation,venue,receptions,1.2766020939042904,1.2763005640243703,0.023619723119661096
validation,venue,receptions::cold,1.0932237587400921,1.0884189865056595,0.43950492257596174
validation,venue,receptions::rank1,1.5192186093627702,1.518098140384386,0.07375297876677234
validation,venue,rushing_yards,16.228059806734883,16.310349334960907,-0.507081741169535
validation,venue,rushing_yards::cold,15.0851050737664,15.275564863166272,-1.2625685301396405
validation,venue,rushing_yards::rank1,17.024735923832257,17.130525252783173,-0.6213860198725607
validation,venue,targets,1.6188017668329882,1.615075201337532,0.2302051784108694
validation,venue,targets::cold,1.391193665627809,1.3677719972215614,1.683566349166632
validation,venue,targets::rank1,1.9261386985100786,1.9224497145706967,0.19152223784483224
validation,bioex,attempts,7.741461557610932,7.741461557610932,0.0
validation,bioex,attempts::cold,10.323763137235716,10.323763137235716,0.0
validation,bioex,attempts::rank1,6.574736841520292,6.574736841520292,0.0
validation,bioex,carries,2.9079844055483224,2.9079844055483224,0.0
validation,bioex,carries::cold,2.3871932299677736,2.3871932299677736,0.0
validation,bioex,carries::rank1,2.8877838192512333,2.8877838192512333,0.0
validation,bioex,passing_yards,65.82272309591173,65.27510617306395,0.831957258969418
validation,bioex,passing_yards::cold,70.24109056561646,70.28768700212608,-0.06633786026726263
validation,bioex,passing_yards::rank1,61.135399262808775,60.768845855770735,0.5995763689418343
validation,bioex,receiving_yards,16.7356873585366,16.7356873585366,0.0
validation,bioex,receiving_yards::cold,13.56257873901405,13.56257873901405,0.0
validation,bioex,receiving_yards::rank1,20.839281548228612,20.839281548228612,0.0
validation,bioex,receptions,1.2766020939042904,1.2766020939042904,0.0
validation,bioex,receptions::cold,1.0932237587400921,1.0932237587400921,0.0
validation,bioex,receptions::rank1,1.5192186093627702,1.5192186093627702,0.0
validation,bioex,rushing_yards,16.228059806734883,16.228059806734883,0.0
validation,bioex,rushing_yards::cold,15.0851050737664,15.0851050737664,0.0
validation,bioex,rushing_yards::rank1,17.024735923832257,17.024735923832257,0.0
validation,bioex,targets,1.6188017668329882,1.6188017668329882,0.0
validation,bioex,targets::cold,1.391193665627809,1.391193665627809,0.0
validation,bioex,targets::rank1,1.9261386985100786,1.9261386985100786,0.0
test,posdef,attempts,7.857009259675389,7.891860840842165,-0.4435731206993143
test,posdef,attempts::rank1,6.768683300020305,6.810327437736932,-0.6152472478140991
test,posdef,carries,2.873140371383449,2.8709742149894875,0.0753933366965498
test,posdef,carries::cold,2.6516441037030307,2.630588395099582,0.7940623922359946
test,posdef,carries::rank1,2.991132997122613,2.999158600360714,-0.26831315243494025
test,posdef,passing_yards,62.48282925318279,62.6358044769483,-0.244827619994048
test,posdef,passing_yards::rank1,58.57901250486828,58.97197361440723,-0.6708223521287415
test,posdef,receiving_yards,16.443949091450907,16.413939417373783,0.18249675859630665
test,posdef,receiving_yards::cold,11.822695386696044,11.603302511837844,1.855692527653885
test,posdef,receiving_yards::rank1,19.990917580789436,19.995330809942764,-0.022076171018636792
test,posdef,receptions,1.2772796352434173,1.2757046880659717,0.12330480608856442
test,posdef,receptions::cold,0.9244602896518673,0.915427647222385,0.9770719770866299
test,posdef,receptions::rank1,1.5170520682735118,1.5160440995362798,0.06644259338962621
test,posdef,rushing_yards,17.16605679729428,17.20326942917737,-0.2167803143291236
test,posdef,rushing_yards::cold,13.086130632339986,13.013615000448436,0.5541411279537445
test,posdef,rushing_yards::rank1,19.516029993252108,19.53193957715408,-0.08152059567172465
test,posdef,targets,1.629881656549777,1.6284615171366652,0.08713144340294354
test,posdef,targets::cold,1.2226094855665586,1.201584974651096,1.7196423848879094
test,posdef,targets::rank1,1.9353874070107258,1.9342480424760045,0.05887010169612905
test,venue,attempts,7.857009259675389,7.837573735842581,0.24736541844945226
test,venue,attempts::rank1,6.768683300020305,6.824284554196085,-0.8214485995468701
test,venue,carries,2.873140371383449,2.8665477697472332,0.22945630160915442
test,venue,carries::cold,2.6516441037030307,2.634056563719474,0.6632692509147664
test,venue,carries::rank1,2.991132997122613,2.9832084137818087,0.2649358403129298
test,venue,passing_yards,62.48282925318279,61.975267306133965,0.8123222861630808
test,venue,passing_yards::rank1,58.57901250486828,58.03524991433245,0.9282549624588521
test,venue,receiving_yards,16.443949091450907,16.429246412421303,0.0894108765956192
test,venue,receiving_yards::cold,11.822695386696044,11.773453060386345,0.41650676685039967
test,venue,receiving_yards::rank1,19.990917580789436,20.037811815883476,-0.23457770212160778
test,venue,receptions,1.2772796352434173,1.2776608490047143,-0.029845755837509813
test,venue,receptions::cold,0.9244602896518673,0.930946369310041,-0.7016071680716829
test,venue,receptions::rank1,1.5170520682735118,1.5187118459908087,-0.10940809165409515
test,venue,rushing_yards,17.16605679729428,17.130351511870643,0.20799934338598947
test,venue,rushing_yards::cold,13.086130632339986,12.798661006248768,2.1967503929755106
test,venue,rushing_yards::rank1,19.516029993252108,19.542749389805667,-0.13690999943531956
test,venue,targets,1.629881656549777,1.6363211444774561,-0.3950892938638706
