prop,doc_stars,n,model_pct,base_pct,edge_pts
WR/TE receptions,*****,3981,61.66792263250439,59.40718412459181,2.2607385079125852
RB rush attempts,*****,1730,59.07514450867052,57.51445086705203,1.5606936416184936
QB pass attempts,****+,461,68.54663774403471,57.04989154013015,11.496746203904562
QB completions,****+,436,66.28440366972477,56.88073394495413,9.403669724770635
Receiving yards,****,4123,53.86854232355082,59.252971137521214,-5.384428813970398
Rushing yards,****,1745,52.20630372492837,59.885386819484246,-7.679083094555872
Passing yards,-,467,65.31049250535332,56.74518201284796,8.565310492505363
Targets,-,3936,58.739837398373986,56.9359756097561,1.8038617886178887
Receiving TD,**,4651,86.21801763061707,86.36852289830144,-0.15050526768436434
